BARRIS,PRECIO_ALQUILER,PRECIO_VENTA,EUROS_ANY,POBLACIÓ,DENSITAT_NETA_HABHA,ACTIVITATS_CONSTRUCCIÓ,ACTIVITATS_TRANSPORT,ACTIVITATS_TRANSPORT_EMMAGATZEMATGE,ACTIVITATS_EMMAGATZEMATGE,ACTIVITATS_IMMOBILIÀRIES,ACTIVITATS_INDUSTRIALS,ADMINISTRACIÓ,AGÈNCIES_VIATGE,ALTRES,VENDING,ALTRES_EQUIPAMENTS_ESPORTIUS,APARELLS_DOMÈSTICS,ARRANJAMENTS,ARTS_GRÀFIQUES,ASSOCIACIONS,AUTOSERVEI_SUPERMERCAT,BARS_CIBERCAFÈ,BARS_ESPECIALS_AMB_ACTUACIÓ_BARS_MUSICALS_DISCOTEQUES_PUB,BASARS,BEGUDES,CALÇAT_PELL,CARN_PORC,CENTRES_DESTÈTICA,COMBUSTIBLES_CARBURANTS,DROGUERIA_PERFUMERIA,EN_REFORMA,ENSENYAMENT,EQUIPAMENTS_CULTURALS_RECREATIUS,EQUIPAMENTS_RELIGIOSOS,ESPORTS,FABRICACIÓ_TÈXTIL,FARMÀCIES_PARAFARMÀCIA,FINANCES_ASSEGURANCES,FLORISTERIES,FOTOGRAFIA,FRUITES_VERDURES,GIMNÀS_FITNES,GRANS_MAGATZEMS_HIPERMERCATS,HERBOLARIS_DIETÈTICA_NUTRICIÓ,INFORMÀTICA,JOGUINES_ESPORTS,JOIERIA_RELLOTGERIA_BIJUTERIA,LLIBRES_DIARIS_REVISTES,LOCALS_BUITS_EN_LLOGUER,LOCALS_BUITS_EN_VENDA,LOCALS_BUITS_EN_VENDA_LLOGUER,LOCUTORIS,MANTENIMENT_NETEJA_SIMILARS,MAQUINÀRIA,MATERIAL_EQUIPAMENT_LLAR,MERCERIA,MOBLES_ARTICLES_FUSTA_METALL,MÚSICA,OUS_AUS,PA_PASTISSERIA_LÀCTICS,PARAMENT_FERRETERIA,PEIX_MARISC,PERRUQUERIES,PLATS_PREPARATS_NO_DEGUSTACIÓ,PÀRQUINGS_GARATGES,REPARACIONS_ELECTRODOMÈSTICS_AUTOMÒBILS,RESTAURANTS,SANITAT_ASSISTÈNCIA,SEGELLS_MONEDES_ANTIGUITATS,SENSE_INFORMACIÓ,SENSE_INFORMACIÓ_HAVIA_TINGUT_ACTIVITAT_RÈTOL,SERVEIS_SOCIALS,SERVEIS_A_LES_EMPRESES_OFICINES,SERVEIS_MENJAR_TAKE_AWAY_MENJAR_RÀPID,SERVEIS_TELECOMUNICACIONS,SOUVENIRS,TABAC_ARTICLES_FUMADORS,TINTORERIES,VEHICLES,VESTIR,VETERINARIS_MASCOTES,XOCOLATERIES_GELADERIES_DEGUSTACIÓ,SERVEIS_DALLOTJAMENT,SERVEIS_MENJAR_BEGUDES,ÒPTIQUES
el Raval,1189.0,2.176,12142,47228,952,27,23,0,55,10,18,18,26,106,0,3,16,26,19,78,102,133,15,29,7,41,70,31,0,26,27,52,62,25,0,2,30,36,1,5,105,4,0,7,89,10,29,18,9,6,14,15,0,1,32,3,5,16,23,54,15,45,85,3,13,9,210,14,15,270,232,25,57,93,8,57,18,20,1,118,4,9,80,0,8
el Barri Gòtic,1325.0,2.632,16732,21827,639,5,27,0,30,3,8,32,1,50,2,0,3,2,10,28,40,93,31,58,4,86,8,37,0,28,50,17,63,13,0,2,19,30,3,2,5,2,1,4,7,25,94,18,33,3,16,1,0,0,17,5,3,4,0,40,5,1,31,2,7,0,225,4,15,180,112,7,24,59,3,110,23,5,1,258,3,28,75,0,27
la Barceloneta,1648.0,2.135,16322,14643,1081,9,10,0,17,10,0,6,1,10,0,1,0,2,2,7,28,3,2,8,2,2,13,13,0,6,4,17,9,3,0,0,8,7,1,2,11,2,0,3,5,7,2,5,4,3,4,1,0,0,2,1,1,0,7,24,4,9,16,0,4,5,179,14,0,123,31,7,13,11,1,3,3,5,0,20,5,0,5,0,4
el Fort Pienc,921.0,2.224,23137,31262,930,29,14,0,84,14,6,5,7,62,0,4,2,9,14,17,57,73,1,10,3,7,14,41,1,16,20,29,22,5,0,20,25,16,2,3,13,13,1,4,11,13,8,10,14,7,11,0,1,11,22,4,22,0,4,22,7,7,22,4,11,33,113,23,17,100,47,5,80,7,2,1,7,8,18,39,6,1,14,0,4
la Sagrada Família,1027.0,2.267,22753,51319,1007,73,24,6,69,43,9,1,17,60,0,0,5,33,17,18,86,154,3,19,13,28,34,50,2,25,39,43,17,5,9,3,32,52,9,4,37,4,0,11,30,19,23,16,66,18,8,6,8,3,32,6,21,5,9,72,8,15,112,12,23,48,161,58,15,85,185,10,84,40,15,50,18,19,20,81,8,10,20,5,16
la Dreta de l'Eixample,1073.0,2.302,30341,44675,392,39,4,104,14,64,2,36,36,128,0,0,6,18,51,51,136,235,26,3,12,94,29,71,2,54,67,97,79,17,3,5,57,110,9,2,29,19,2,19,41,53,68,42,59,16,21,3,15,6,79,8,46,4,11,94,11,11,113,5,50,43,393,105,44,138,125,11,145,63,2,7,30,16,18,379,15,11,138,55,8
l'Antiga Esquerra de l'Eixample,1209.0,2.471,27634,41990,627,39,9,11,63,53,1,7,24,113,0,2,9,25,34,22,108,163,11,16,17,32,36,77,2,22,48,45,71,11,4,4,38,60,11,7,24,7,1,14,32,22,29,24,30,9,29,3,6,1,66,8,32,3,11,78,8,20,124,3,55,46,448,99,4,87,51,6,75,41,1,1,15,16,14,146,14,8,41,17,13
la Nova Esquerra de l'Eixample,958.0,2.314,25378,57054,876,46,12,0,36,35,4,9,16,76,0,6,3,29,27,16,102,151,6,25,6,14,20,100,0,19,25,68,31,10,0,2,35,41,10,13,29,17,1,14,29,12,25,22,39,9,17,7,12,2,31,5,45,1,2,54,12,6,107,3,29,70,227,90,6,201,57,7,101,31,10,1,13,16,32,69,19,2,25,0,10
Sant Antoni,894.0,2.051,22851,38053,921,27,13,2,34,36,4,7,9,64,0,6,11,21,17,23,91,165,13,18,19,32,36,38,2,30,34,44,28,6,2,4,33,33,11,3,32,8,0,17,59,16,23,21,38,7,12,4,12,5,25,10,28,7,13,49,16,22,86,5,30,33,195,47,4,131,59,9,24,13,1,7,15,12,6,144,17,5,23,0,9
la Marina de Port,784.0,1.968,16999,30741,789,12,7,1,4,7,1,7,2,10,0,4,2,3,2,7,27,0,0,6,1,4,17,6,2,9,5,18,11,7,0,1,14,14,3,1,14,1,1,3,6,1,2,4,13,9,3,2,5,0,2,3,7,0,5,24,1,8,26,0,7,11,93,24,0,148,26,4,25,3,1,0,6,5,4,11,3,0,1,0,3
